Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Protein Localization To Cell Surface (GO:0034394),4/26,0.0002657083738306429,0.0147763379002485,0,0,14.887212372689552,122.56807476730842,FCN1;FLNA;CTNNB1;ARF6
GO_Biological_Process_2023,Neutrophil Activation Involved In Immune Response (GO:0002283),3/11,0.00027860719261813715,0.0150749080978786,0,0,30.599690082644628,250.480118113437,STXBP2;LILRA2;VAMP2
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),7/104,0.0002943129816972072,0.0151461819473634,0,0,5.960582171012735,48.46469964287827,BTG1;PRKCB;CYP1B1;HIF1A;THBS1;RUNX1;RHOB
GO_Biological_Process_2023,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),5/48,0.0002950554924811059,0.0151461819473634,0,0,9.550387596899224,77.62886541508605,ITGAM;TGFB1;CLEC7A;RAB27A;THBS1
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),6/76,0.00033956232466643383,0.016995094349555,0,0,7.059772863120143,56.39242819701004,CLEC7A;LCP1;LILRB2;LILRA2;POU2F2;EREG
GO_Biological_Process_2023,Response To Lipid (GO:0033993),7/110,0.00041439197278150624,0.0202344568172823,0,0,5.611650485436893,43.70745224767574,CDKN2D;TGFB1;SLC11A1;CTNNB1;IRAK3;S100A9;S100A8
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),12/310,0.0004662365553061569,0.0210982765126486,0,0,3.3626753463720944,25.79446863560526,NOTCH2;MEF2C;TGFB1;PTPRC;GLIPR2;LRRK2;S100A12;ADAM8;NRG1;IQGAP1;THBS1;CD44
GO_Biological_Process_2023,Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220),4/30,0.00046872006949113046,0.0210982765126486,0,0,12.594318544526011,96.54180968992586,FCN1;CLEC7A;FYN;LILRA2
GO_Biological_Process_2023,T Cell Differentiation In Thymus (GO:0033077),3/13,0.00047423698455004463,0.0210982765126486,0,0,24.477272727272727,187.34423307111751,PTPRC;ZFP36L2;ZFP36L1
GO_Biological_Process_2023,Positive Regulation Of Superoxide Anion Generation (GO:0032930),3/13,0.00047423698455004463,0.0210982765126486,0,0,24.477272727272727,187.34423307111751,ITGAM;TGFB1;CLEC7A
GO_Biological_Process_2023,Cellular Response To Oxygen-Containing Compound (GO:1901701),14/406,0.0005128423963533438,0.021445072741011,0,0,2.993661100803958,22.678605341773764,CX3CR1;MEF2C;JUN;TESC;AQP9;IQGAP1;FOS;LILRB2;RASGRP2;TNFRSF1B;ZFP36L1;RAP1B;CAPN2;LCP1
GO_Biological_Process_2023,Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535),5/54,0.0005134205701480374,0.021445072741011,0,0,8.378401360544217,63.46149081654985,MEF2C;TGFB1;NRG1;HIF1A;THBS1
GO_Biological_Process_2023,Regulation Of MAP Kinase Activity (GO:0043405),7/114,0.00051416757820606,0.021445072741011,0,0,5.400769653655855,40.89981967459819,MEF2C;TGFB1;DUSP1;LRRK2;S100A12;IRAK3;THBS1
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),6/84,0.0005820944615216705,0.0234794815469506,0,0,6.333118764081108,47.174627882947775,CX3CR1;SERPINB1;CLEC7A;MNDA;LCP1;LILRA2
